# variety ghosts halo streak chroma intensity  u v sunU sunV visibility  r g b
# generated by Project-Zero; checked against the reference lensFlare() by CheckLensFlare.py
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.320000 -0.880000 0.000000 0.000000 1.000000  0.00316000 0.00284400 0.00252800
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -1.100000 -0.880000 0.000000 0.000000 1.000000  0.00421819 0.00379730 0.00337549
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.880000 -0.880000 0.000000 0.000000 1.000000  0.00546119 0.00491507 0.00436895
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.660000 -0.880000 0.000000 0.000000 1.000000  0.00688572 0.00619734 0.00550877
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.440000 -0.880000 0.000000 0.000000 1.000000  0.01238113 0.01134773 0.01010961
0.0 5.0 0.550000 0.800000 0.650000 1.000000  -0.220000 -0.880000 0.000000 0.000000 1.000000  0.00937038 0.00843335 0.00749631
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.000000 -0.880000 0.000000 0.000000 1.000000  0.01023087 0.00923006 0.00820698
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.220000 -0.880000 0.000000 0.000000 1.000000  0.01119850 0.01017006 0.00905021
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.440000 -0.880000 0.000000 0.000000 1.000000  0.00853016 0.00768930 0.00683629
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.660000 -0.880000 0.000000 0.000000 1.000000  0.00688180 0.00619362 0.00550544
0.0 5.0 0.550000 0.800000 0.650000 1.000000  0.880000 -0.880000 0.000000 0.000000 1.000000  0.00546119 0.00491507 0.00436895
0.0 5.0 0.550000 0.800000 0.650000 1.000000  1.100000 -0.880000 0.000000 0.000000 1.000000  0.00421827 0.00379738 0.00337555
0.0 5.0 0.550000 0.800000 0.650000 1.000000  1.320000 -0.880000 0.000000 0.000000 1.000000  0.00318632 0.00286900 0.00255037
